algorithm,iteration,gap,record_gap,time_s
IRLS,245,1.876309e-07,1.876309e-07,1.013508e-02
IRLS,246,1.856276e-07,1.856276e-07,1.017750e-02
IRLS,247,1.836522e-07,1.836522e-07,1.022025e-02
IRLS,248,1.817040e-07,1.817040e-07,1.025904e-02
IRLS,249,1.797827e-07,1.797827e-07,1.029850e-02
IRLS,250,1.778877e-07,1.778877e-07,1.033683e-02
IRLS,251,1.760188e-07,1.760188e-07,1.037604e-02
IRLS,252,1.741753e-07,1.741753e-07,1.041417e-02
IRLS,253,1.723570e-07,1.723570e-07,1.045337e-02
IRLS,254,1.705633e-07,1.705633e-07,1.049246e-02
IRLS,255,1.687940e-07,1.687940e-07,1.053163e-02
IRLS,256,1.670486e-07,1.670486e-07,1.057554e-02
IRLS,257,1.653266e-07,1.653266e-07,1.061371e-02
IRLS,258,1.636279e-07,1.636279e-07,1.065204e-02
IRLS,259,1.619518e-07,1.619518e-07,1.069058e-02
IRLS,260,1.602982e-07,1.602982e-07,1.072925e-02
IRLS,261,1.586666e-07,1.586666e-07,1.076800e-02
IRLS,262,1.570567e-07,1.570567e-07,1.080600e-02
IRLS,263,1.554681e-07,1.554681e-07,1.084504e-02
IRLS,264,1.539004e-07,1.539004e-07,1.088754e-02
IRLS,265,1.523535e-07,1.523535e-07,1.093042e-02
IRLS,266,1.508269e-07,1.508269e-07,1.097067e-02
IRLS,267,1.493202e-07,1.493202e-07,1.101154e-02
IRLS,268,1.478333e-07,1.478333e-07,1.105404e-02
IRLS,269,1.463658e-07,1.463658e-07,1.109663e-02
IRLS,270,1.449173e-07,1.449173e-07,1.113425e-02
IRLS,271,1.434876e-07,1.434876e-07,1.117696e-02
IRLS,272,1.420763e-07,1.420763e-07,1.121933e-02
IRLS,273,1.406833e-07,1.406833e-07,1.125729e-02
IRLS,274,1.393082e-07,1.393082e-07,1.129975e-02
IRLS,275,1.379507e-07,1.379507e-07,1.134275e-02
IRLS,276,1.366105e-07,1.366105e-07,1.138308e-02
IRLS,277,1.352875e-07,1.352875e-07,1.142375e-02
IRLS,278,1.339812e-07,1.339812e-07,1.146650e-02
IRLS,279,1.326916e-07,1.326916e-07,1.150954e-02
IRLS,280,1.314182e-07,1.314182e-07,1.154975e-02
IRLS,281,1.301609e-07,1.301609e-07,1.159058e-02
IRLS,282,1.289194e-07,1.289194e-07,1.163283e-02
IRLS,283,1.276935e-07,1.276935e-07,1.167563e-02
IRLS,284,1.264829e-07,1.264829e-07,1.171629e-02
IRLS,285,1.252874e-07,1.252874e-07,1.175746e-02
IRLS,286,1.241068e-07,1.241068e-07,1.179979e-02
IRLS,287,1.229408e-07,1.229408e-07,1.184267e-02
IRLS,288,1.217893e-07,1.217893e-07,1.187983e-02
IRLS,289,1.206519e-07,1.206519e-07,1.192296e-02
IRLS,290,1.195286e-07,1.195286e-07,1.196525e-02
IRLS,291,1.184191e-07,1.184191e-07,1.200613e-02
IRLS,292,1.173231e-07,1.173231e-07,1.204558e-02
IRLS,293,1.162405e-07,1.162405e-07,1.208750e-02
IRLS,294,1.151711e-07,1.151711e-07,1.212871e-02
IRLS,295,1.141146e-07,1.141146e-07,1.216975e-02
IRLS,296,1.130710e-07,1.130710e-07,1.221100e-02
IRLS,297,1.120399e-07,1.120399e-07,1.225313e-02
IRLS,298,1.110213e-07,1.110213e-07,1.229500e-02
IRLS,299,1.100148e-07,1.100148e-07,1.233733e-02
IRLS,300,1.090205e-07,1.090205e-07,1.237396e-02
IRLS,301,1.080380e-07,1.080380e-07,1.241592e-02
IRLS,302,1.070672e-07,1.070672e-07,1.245863e-02
IRLS,303,1.061079e-07,1.061079e-07,1.249958e-02
IRLS,304,1.051600e-07,1.051600e-07,1.253958e-02
IRLS,305,1.042233e-07,1.042233e-07,1.258225e-02
IRLS,306,1.032976e-07,1.032976e-07,1.262463e-02
IRLS,307,1.023828e-07,1.023828e-07,1.266604e-02
IRLS,308,1.014788e-07,1.014788e-07,1.270763e-02
IRLS,309,1.005852e-07,1.005852e-07,1.275108e-02
IRLS,310,9.970212e-08,9.970212e-08,1.279313e-02
IRLS,311,9.882926e-08,9.882926e-08,1.283442e-02
IRLS,312,9.796652e-08,9.796652e-08,1.287483e-02
IRLS,313,9.711375e-08,9.711375e-08,1.291763e-02
IRLS,314,9.627080e-08,9.627080e-08,1.296000e-02
IRLS,315,9.543754e-08,9.543754e-08,1.300113e-02
IRLS,316,9.461382e-08,9.461382e-08,1.304121e-02
IRLS,317,9.379952e-08,9.379952e-08,1.308421e-02
IRLS,318,9.299450e-08,9.299450e-08,1.312654e-02
IRLS,319,9.219863e-08,9.219863e-08,1.316758e-02
IRLS,320,9.141179e-08,9.141179e-08,1.320825e-02
IRLS,321,9.063383e-08,9.063383e-08,1.325129e-02
IRLS,322,8.986464e-08,8.986464e-08,1.329346e-02
IRLS,323,8.910410e-08,8.910410e-08,1.333458e-02
IRLS,324,8.835209e-08,8.835209e-08,1.337454e-02
IRLS,325,8.760848e-08,8.760848e-08,1.341750e-02
IRLS,326,8.687316e-08,8.687316e-08,1.346013e-02
IRLS,327,8.614602e-08,8.614602e-08,1.350083e-02
IRLS,328,8.542694e-08,8.542694e-08,1.354096e-02
IRLS,329,8.471581e-08,8.471581e-08,1.358379e-02
IRLS,330,8.401252e-08,8.401252e-08,1.362642e-02
IRLS,331,8.331696e-08,8.331696e-08,1.366738e-02
IRLS,332,8.262903e-08,8.262903e-08,1.370808e-02
IRLS,333,8.194862e-08,8.194862e-08,1.375117e-02
IRLS,334,8.127563e-08,8.127563e-08,1.379313e-02
IRLS,335,8.060996e-08,8.060996e-08,1.383400e-02
IRLS,336,7.995151e-08,7.995151e-08,1.387454e-02
IRLS,337,7.930018e-08,7.930018e-08,1.391783e-02
IRLS,338,7.865588e-08,7.865588e-08,1.396033e-02
IRLS,339,7.801850e-08,7.801850e-08,1.400142e-02
IRLS,340,7.738796e-08,7.738796e-08,1.404138e-02
IRLS,341,7.676416e-08,7.676416e-08,1.408392e-02
IRLS,342,7.614702e-08,7.614702e-08,1.412633e-02
IRLS,343,7.553644e-08,7.553644e-08,1.416742e-02
IRLS,344,7.493234e-08,7.493234e-08,1.420771e-02
IRLS,345,7.433463e-08,7.433463e-08,1.425067e-02
IRLS,346,7.374322e-08,7.374322e-08,1.429267e-02
IRLS,347,7.315804e-08,7.315804e-08,1.433533e-02
IRLS,348,7.257899e-08,7.257899e-08,1.437238e-02
