dataset,i_mid,gap,rho_per_iter,iters_per_decade
california,60.149812967290266,0.11546979021320032,0.9935368294128976,355.1099294876383
california,73.66817494685205,0.1061353349059365,0.9944332741855999,412.4812819738671
california,90.0,0.09815649917709979,0.9952275460809055,481.3218232134919
california,110.45361017187261,0.08962815001768079,0.9959677033871303,569.8835761305647
california,134.82581355215328,0.08200494773138371,0.9966225768021347,680.6060015789876
california,164.6754383628597,0.07484616062851615,0.9972180527872592,826.5364491042624
california,201.00746254803576,0.06827219773301313,0.9977292942171715,1012.887655131159
california,245.7315608545227,0.06233799508897667,0.9981554850023732,1247.1901102210113
california,300.5062395358872,0.056841131080526845,0.9984838526395152,1517.5563948403121
california,367.14030015785517,0.05189499395387589,0.9987383041155198,1823.8406216477877
california,448.74937325861526,0.04726631500440963,0.9989379155506137,2166.835328255739
california,548.2481190118211,0.04295527628237969,0.9990960456366459,2546.0845298308054
california,669.6566284298244,0.03888775962684582,0.9992216844928687,2957.269753435696
california,817.8997493580738,0.03503489807569145,0.9993253694353038,3411.9537847055426
california,999.4598541212148,0.03136422470715891,0.9994103559615221,3903.89120089494
california,1221.372179149337,0.027857841690269194,0.9994822222679032,4445.901755126368
california,1492.0288200969846,0.024538077588041433,0.9995531806809241,5152.128694180656
california,1822.837074452898,0.021468725875505457,0.9996165364007251,6003.551811288103
california,2227.3145265094468,0.018657023537702624,0.9996764105112448,7114.6084985282205
california,2720.888457838726,0.016144101700028567,0.99973258815035,8609.480892545487
california,3323.81076476986,0.013954413182205262,0.9997855528670307,10736.157489749256
california,4061.1064994653857,0.012094420597863835,0.9998267380362684,13288.465410635814
california,4961.62029986173,0.010501556704647237,0.9998616004412045,16636.07724603059
california,6061.58395141072,0.00915048069194358,0.9998892097876613,20782.13851286296
california,7405.369673419416,0.007997092602299442,0.9999112188360314,25934.362374473625
california,9047.098982546837,0.007009260263713967,0.9999219909495554,29515.745512400765
california,11052.601503718479,0.006083865215733058,0.9999333205600324,34531.00874446978
california,13502.28069623795,0.00524813961493101,0.9999490967529704,45233.39123393405
california,16495.735570140543,0.00457233563063398,0.9999643690301949,64621.987099332444
california,20152.917282616927,0.004063802751861536,0.9999730552158131,85454.53752970883
california,24620.51126601558,0.0036444551976787154,0.999979758530444,113754.67491072787
california,30078.1679129564,0.0032977931434669846,0.9999824990960956,131568.343946865
california,36745.68920295277,0.0029674028953442606,0.9999835092477698,139627.71831867093
california,44891.822028070994,0.0026278060018013806,0.9999855738445342,159610.68003831018
california,54843.454869291374,0.0023077089536781463,0.9999870266548112,177484.69059738598
california,67000.94482915894,0.0020008267859007137,0.9999856748369299,160735.9434049347
california,81853.94607470064,0.001650465827772097,0.999986105703609,165720.4533258453
california,99999.45108349345,0.0013138389126057535,0.9999904444479992,240967.14575510635
california,122167.26811630029,0.0010847030390754553,0.9999882339277718,195695.85347769316
california,149248.96610697175,0.0008130296136398817,0.9999897540273007,224729.59517303697
california,182334.00618644894,0.0005982886094515247,0.9999937394661592,367792.5786903559
california,222753.76180212985,0.00047586351663192564,0.9999937226309863,366806.1987228005
california,272133.6302113357,0.00035948859967879527,0.9999961475028809,597685.2380310592
california,332459.56627535925,0.00029131833960253337,0.9999963653439274,633507.2321760132
california,406158.4346655871,0.00022862076476576286,0.9999957647279344,543667.604178119
california,496194.3932825118,0.000161913594223815,0.9999964274790714,644525.5397988444
california,606189.1964873673,0.00011347008071764634,0.999996890438158,740484.232171487
california,740567.723998285,7.77491336559524e-05,0.9999965062685472,659060.692496525
california,904735.320411445,4.6273505255874474e-05,0.9999966304811047,683356.0769966084
