start,delta_factor,rho,R,delta_0,gap,n_contractions,n_iter
cold,0.05,0.3,0.5,0.22871972479533265,2.9512153512101236e-06,9,8000
cold,0.1,0.7,0.1,0.4574394495906653,3.1745113584502604e-06,32,8000
cold,0.05,0.5,0.1,0.22871972479533265,3.2462009209588416e-06,15,8000
cold,0.5,0.7,0.1,2.2871972479533262,3.5241093272464497e-06,37,8000
cold,0.01,0.7,0.1,0.04574394495906652,3.782631774473799e-06,25,8000
cold,0.1,0.5,0.5,0.4574394495906653,3.8480306350230364e-06,16,8000
cold,0.5,0.5,0.5,2.2871972479533262,4.0544509878337465e-06,18,8000
cold,1.0,0.7,0.1,4.5743944959066525,4.80472676844812e-06,38,8000
cold,0.05,0.8,0.1,0.22871972479533265,4.818338581014103e-06,45,8000
cold,0.1,0.3,0.1,0.4574394495906653,5.587467391876544e-06,9,8000
cold,0.1,0.3,0.5,0.4574394495906653,5.937427713931243e-06,9,8000
cold,0.1,0.3,1.0,0.4574394495906653,5.993223010536397e-06,9,8000
cold,0.01,0.3,0.5,0.04574394495906652,6.572913965108285e-06,7,8000
cold,0.01,0.5,0.5,0.04574394495906652,7.264201200118947e-06,12,8000
cold,0.05,0.5,1.0,0.22871972479533265,7.838722610120641e-06,14,8000
cold,0.5,0.8,0.1,2.2871972479533262,7.843249445027567e-06,56,8000
cold,0.1,0.8,0.1,0.4574394495906653,8.565011658578925e-06,48,8000
cold,0.5,0.3,1.0,2.2871972479533262,9.29618970069157e-06,10,8000
cold,0.01,0.8,0.1,0.04574394495906652,9.899793468548523e-06,36,8000
cold,0.05,0.5,0.5,0.22871972479533265,1.0159961583600108e-05,14,8000
cold,1.0,0.8,0.1,4.5743944959066525,1.1034344761906567e-05,57,8000
cold,0.05,0.3,1.0,0.22871972479533265,1.1934819254655338e-05,8,8000
cold,0.1,0.7,0.5,0.4574394495906653,1.2044296576974034e-05,28,8000
cold,1.0,0.3,1.0,4.5743944959066525,1.239950903175746e-05,10,8000
cold,1.0,0.5,0.5,4.5743944959066525,1.3133395725173358e-05,18,8000
cold,0.01,0.5,1.0,0.04574394495906652,1.5461641677205762e-05,11,8000
cold,0.05,0.9,0.1,0.22871972479533265,1.5674238209140157e-05,89,8000
cold,0.5,0.5,1.0,2.2871972479533262,1.6850245992738877e-05,17,8000
cold,1.0,0.7,0.5,4.5743944959066525,1.759016806079927e-05,34,8000
cold,0.01,0.7,0.5,0.04574394495906652,1.837278816463339e-05,21,8000
cold,0.1,0.5,1.0,0.4574394495906653,1.8596805385628912e-05,14,8000
cold,0.1,0.9,0.1,0.4574394495906653,1.8729308284060053e-05,95,8000
cold,0.5,0.9,0.1,2.2871972479533262,1.948631541726087e-05,109,8000
cold,1.0,0.9,0.1,4.5743944959066525,1.994329821974894e-05,113,8000
cold,0.01,0.9,0.1,0.04574394495906652,2.0629744161393404e-05,72,8000
cold,0.1,0.8,0.5,0.4574394495906653,2.408884833826619e-05,42,8000
cold,0.1,0.7,1.0,0.4574394495906653,2.4139442261317257e-05,26,8000
